Name,geometry_layer,wkt
Section #14,"Section #14, 132kV, 'ad400', from Str. #700 Set 46 'AD-P6' to Str. #701 Set 26
                    'AG-P6', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-inf'",POINT Z (8.0737950866 47.4087028812 377.7988)
,"Section #14, 132kV, 'ad400', from Str. #700 Set 46 'AD-P6' to Str. #701 Set 26
                    'AG-P6', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-inf'","MULTILINESTRING Z ((8.0748804176 47.4089546918 383.4, 8.0748321805 47.4089435004 382.9126, 8.0747839433 47.4089323091 382.4474, 8.0747357062 47.4089211176 382.0045, 8.0746874691 47.4089099262 381.5838, 8.0746392321 47.4088987348 381.1853, 8.074590995 47.4088875433 380.8091, 8.074542758 47.4088763518 380.455, 8.074494521 47.4088651603 380.1231, 8.074446284 47.4088539688 379.8134, 8.074398047 47.4088427772 379.5259, 8.0743498101 47.4088315857 379.2605, 8.0743015731 47.4088203941 379.0173, 8.0742533362 47.4088092025 378.7962, 8.0742050993 47.4087980108 378.5972, 8.0741568625 47.4087868192 378.4204, 8.0741086256 47.4087756275 378.2657, 8.0740603888 47.4087644358 378.133, 8.074012152 47.4087532441 378.0225, 8.0739639152 47.4087420524 377.9341, 8.0739156784 47.4087308606 377.8679, 8.0738674417 47.4087196689 377.8237, 8.073819205 47.4087084771 377.8016, 8.0737709682 47.4086972853 377.8016, 8.0737227316 47.4086860934 377.8237, 8.0736744949 47.4086749016 377.8679, 8.0736262583 47.4086637097 377.9341, 8.0735780216 47.4086525178 378.0225, 8.073529785 47.4086413259 378.133, 8.0734815484 47.408630134 378.2657, 8.0734333119 47.408618942 378.4204, 8.0733850753 47.4086077501 378.5972, 8.0733368388 47.4085965581 378.7962, 8.0732886023 47.408585366 379.0173, 8.0732403658 47.408574174 379.2605, 8.0731921294 47.408562982 379.5259, 8.0731438929 47.4085517899 379.8134, 8.0730956565 47.4085405978 380.1231, 8.0730474201 47.4085294057 380.455, 8.0729991837 47.4085182136 380.8091, 8.0729509473 47.4085070214 381.1853, 8.072902711 47.4084958292 381.5838, 8.0728544747 47.408484637 382.0045, 8.0728062384 47.4084734448 382.4474, 8.0727580021 47.4084622526 382.9126, 8.0727097658 47.4084510603 383.4))"
Section #15,"Section #15, 132kV, 'ad400', from Str. #701 Set 26 'AG-P6' to Str. #702 Set 26
                    'AG-P6', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-inf'",POINT Z (8.0715699399 47.4082999995 379.6205)
,"Section #15, 132kV, 'ad400', from Str. #701 Set 26 'AG-P6' to Str. #702 Set 26
                    'AG-P6', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-inf'","MULTILINESTRING Z ((8.0727097658 47.4084510603 383.4, 8.0726591103 47.4084443472 382.9843, 8.0726084547 47.4084376341 382.5916, 8.0725577992 47.4084309209 382.2221, 8.0725071436 47.4084242078 381.8757, 8.0724564881 47.4084174946 381.5523, 8.0724058326 47.4084107813 381.252, 8.0723551771 47.4084040681 380.9748, 8.0723045216 47.4083973548 380.7206, 8.0722538661 47.4083906415 380.4894, 8.0722032107 47.4083839282 380.2813, 8.0721525552 47.4083772149 380.0961, 8.0721018998 47.4083705015 379.934, 8.0720512444 47.4083637882 379.7949, 8.072000589 47.4083570748 379.6788, 8.0719499336 47.4083503613 379.5857, 8.0718992782 47.4083436479 379.5156, 8.0718486228 47.4083369344 379.4685, 8.0717979675 47.4083302209 379.4444, 8.0717473121 47.4083235074 379.4433, 8.0716966568 47.4083167939 379.4651, 8.0716460015 47.4083100803 379.51, 8.0715953462 47.4083033668 379.5779, 8.0715446909 47.4082966532 379.6687, 8.0714940356 47.4082899395 379.7825, 8.0714433803 47.4082832259 379.9194, 8.0713927251 47.4082765122 380.0792, 8.0713420699 47.4082697985 380.2621, 8.0712914146 47.4082630848 380.468, 8.0712407594 47.4082563711 380.6969, 8.0711901042 47.4082496573 380.9488, 8.071139449 47.4082429436 381.2238, 8.0710887938 47.4082362298 381.5219, 8.0710381387 47.408229516 381.843, 8.0709874835 47.4082228021 382.1871, 8.0709368284 47.4082160882 382.5544, 8.0708861733 47.4082093744 382.9448, 8.0708355181 47.4082026604 383.3582, 8.070784863 47.4081959465 383.7949, 8.070734208 47.4081892326 384.2546, 8.0706835529 47.4081825186 384.7375, 8.0706328978 47.4081758046 385.2436, 8.0705822428 47.4081690906 385.7728, 8.0705315877 47.4081623765 386.3253, 8.0704809327 47.4081556624 386.901, 8.0704302777 47.4081489484 387.5))"
Section #16,"Section #16, 132kV, 'ad400', from Str. #701 Set 41 'AD-P1' to Str. #702 Set 21
                    'AG-P1', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-sup'",POINT Z (8.0715598851 47.4083397238 385.6733)
,"Section #16, 132kV, 'ad400', from Str. #701 Set 41 'AD-P1' to Str. #702 Set 21
                    'AG-P1', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-sup'","MULTILINESTRING Z ((8.0726943748 47.4084901622 389.4, 8.0726439564 47.4084834767 388.9889, 8.072593538 47.4084767913 388.6006, 8.0725431196 47.4084701058 388.2353, 8.0724927013 47.4084634203 387.8928, 8.0724422829 47.4084567347 387.5732, 8.0723918646 47.4084500492 387.2764, 8.0723414462 47.4084433636 387.0025, 8.0722910279 47.408436678 386.7514, 8.0722406096 47.4084299924 386.5232, 8.0721901913 47.4084233067 386.3177, 8.0721397731 47.408416621 386.1351, 8.0720893548 47.4084099353 385.9753, 8.0720389365 47.4084032496 385.8383, 8.0719885183 47.4083965639 385.724, 8.0719381001 47.4083898781 385.6326, 8.0718876819 47.4083831924 385.564, 8.0718372637 47.4083765066 385.5181, 8.0717868455 47.4083698207 385.495, 8.0717364273 47.4083631349 385.4947, 8.0716860091 47.408356449 385.5172, 8.071635591 47.4083497631 385.5625, 8.0715851729 47.4083430772 385.6306, 8.0715347547 47.4083363913 385.7214, 8.0714843366 47.4083297053 385.835, 8.0714339185 47.4083230193 385.9715, 8.0713835004 47.4083163333 386.1307, 8.0713330824 47.4083096473 386.3127, 8.0712826643 47.4083029613 386.5176, 8.0712322462 47.4082962752 386.7453, 8.0711818282 47.4082895891 386.9957, 8.0711314102 47.408282903 387.2691, 8.0710809922 47.4082762169 387.5652, 8.0710305742 47.4082695307 387.8843, 8.0709801562 47.4082628445 388.2262, 8.0709297382 47.4082561583 388.5909, 8.0708793203 47.4082494721 388.9786, 8.0708289023 47.4082427859 389.3891, 8.0707784844 47.4082360996 389.8226, 8.0707280665 47.4082294133 390.279, 8.0706776485 47.408222727 390.7584, 8.0706272306 47.4082160407 391.2607, 8.0705768128 47.4082093543 391.786, 8.0705263949 47.408202668 392.3343, 8.070475977 47.4081959816 392.9056, 8.0704255592 47.4081892951 393.5))"
Section #17,"Section #17, 132kV, 'ad400', from Str. #701 Set 42 'AD-P2' to Str. #702 Set 22
                    'AG-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'",POINT Z (8.0715593265 47.4083419307 382.6781)
,"Section #17, 132kV, 'ad400', from Str. #701 Set 42 'AD-P2' to Str. #702 Set 22
                    'AG-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'","MULTILINESTRING Z ((8.0726935197 47.4084923345 386.4, 8.0726431145 47.4084856506 385.9893, 8.0725927093 47.4084789667 385.6014, 8.0725423041 47.4084722827 385.2364, 8.0724918989 47.4084655987 384.8943, 8.0724414937 47.4084589147 384.5751, 8.0723910886 47.4084522307 384.2786, 8.0723406834 47.4084455467 384.005, 8.0722902783 47.4084388626 383.7542, 8.0722398732 47.4084321785 383.5262, 8.072189468 47.4084254944 383.3211, 8.0721390629 47.4084188103 383.1387, 8.0720886579 47.4084121261 382.9791, 8.0720382528 47.4084054419 382.8422, 8.0719878477 47.4083987577 382.7282, 8.0719374427 47.4083920735 382.6369, 8.0718870376 47.4083853893 382.5684, 8.0718366326 47.408378705 382.5226, 8.0717862276 47.4083720207 382.4997, 8.0717358226 47.4083653364 382.4994, 8.0716854176 47.4083586521 382.522, 8.0716350126 47.4083519677 382.5673, 8.0715846077 47.4083452833 382.6354, 8.0715342027 47.408338599 382.7262, 8.0714837978 47.4083319145 382.8398, 8.0714333929 47.4083252301 382.9762, 8.0713829879 47.4083185456 383.1354, 8.0713325831 47.4083118611 383.3174, 8.0712821782 47.4083051766 383.5221, 8.0712317733 47.4082984921 383.7497, 8.0711813684 47.4082918076 384, 8.0711309636 47.408285123 384.2732, 8.0710805587 47.4082784384 384.5692, 8.0710301539 47.4082717538 384.888, 8.0709797491 47.4082650691 385.2297, 8.0709293443 47.4082583845 385.5943, 8.0708789395 47.4082516998 385.9817, 8.0708285348 47.4082450151 386.392, 8.07077813 47.4082383303 386.8252, 8.0707277253 47.4082316456 387.2813, 8.0706773205 47.4082249608 387.7603, 8.0706269158 47.408218276 388.2623, 8.0705765111 47.4082115912 388.7872, 8.0705261064 47.4082049064 389.3351, 8.0704757017 47.4081982215 389.9061, 8.070425297 47.4081915366 390.5))"
Section #18,"Section #18, 132kV, 'ad400', from Str. #701 Set 43 'AD-P3' to Str. #702 Set 23
                    'AG-P3', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-inf'",POINT Z (8.0715598851 47.4083397238 379.6733)
,"Section #18, 132kV, 'ad400', from Str. #701 Set 43 'AD-P3' to Str. #702 Set 23
                    'AG-P3', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-inf'","MULTILINESTRING Z ((8.0726943748 47.4084901622 383.4, 8.0726439564 47.4084834767 382.9889, 8.072593538 47.4084767913 382.6006, 8.0725431196 47.4084701058 382.2353, 8.0724927013 47.4084634203 381.8928, 8.0724422829 47.4084567347 381.5732, 8.0723918646 47.4084500492 381.2764, 8.0723414462 47.4084433636 381.0025, 8.0722910279 47.408436678 380.7514, 8.0722406096 47.4084299924 380.5232, 8.0721901913 47.4084233067 380.3177, 8.0721397731 47.408416621 380.1351, 8.0720893548 47.4084099353 379.9753, 8.0720389365 47.4084032496 379.8383, 8.0719885183 47.4083965639 379.724, 8.0719381001 47.4083898781 379.6326, 8.0718876819 47.4083831924 379.564, 8.0718372637 47.4083765066 379.5181, 8.0717868455 47.4083698207 379.495, 8.0717364273 47.4083631349 379.4947, 8.0716860091 47.408356449 379.5172, 8.071635591 47.4083497631 379.5625, 8.0715851729 47.4083430772 379.6306, 8.0715347547 47.4083363913 379.7214, 8.0714843366 47.4083297053 379.835, 8.0714339185 47.4083230193 379.9715, 8.0713835004 47.4083163333 380.1307, 8.0713330824 47.4083096473 380.3127, 8.0712826643 47.4083029613 380.5176, 8.0712322462 47.4082962752 380.7453, 8.0711818282 47.4082895891 380.9957, 8.0711314102 47.408282903 381.2691, 8.0710809922 47.4082762169 381.5652, 8.0710305742 47.4082695307 381.8843, 8.0709801562 47.4082628445 382.2262, 8.0709297382 47.4082561583 382.5909, 8.0708793203 47.4082494721 382.9786, 8.0708289023 47.4082427859 383.3891, 8.0707784844 47.4082360996 383.8226, 8.0707280665 47.4082294133 384.279, 8.0706776485 47.408222727 384.7584, 8.0706272306 47.4082160407 385.2607, 8.0705768128 47.4082093543 385.786, 8.0705263949 47.408202668 386.3343, 8.070475977 47.4081959816 386.9056, 8.0704255592 47.4081892951 387.5))"
Section #19,"Section #19, 132kV, 'ad400', from Str. #701 Set 44 'AD-P4' to Str. #702 Set 24
                    'AG-P4', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-sup'",POINT Z (8.0715699399 47.4082999995 385.6205)
,"Section #19, 132kV, 'ad400', from Str. #701 Set 44 'AD-P4' to Str. #702 Set 24
                    'AG-P4', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-sup'","MULTILINESTRING Z ((8.0727097658 47.4084510603 389.4, 8.0726591103 47.4084443472 388.9843, 8.0726084547 47.4084376341 388.5916, 8.0725577992 47.4084309209 388.2221, 8.0725071436 47.4084242078 387.8757, 8.0724564881 47.4084174946 387.5523, 8.0724058326 47.4084107813 387.252, 8.0723551771 47.4084040681 386.9748, 8.0723045216 47.4083973548 386.7206, 8.0722538661 47.4083906415 386.4894, 8.0722032107 47.4083839282 386.2813, 8.0721525552 47.4083772149 386.0961, 8.0721018998 47.4083705015 385.934, 8.0720512444 47.4083637882 385.7949, 8.072000589 47.4083570748 385.6788, 8.0719499336 47.4083503613 385.5857, 8.0718992782 47.4083436479 385.5156, 8.0718486228 47.4083369344 385.4685, 8.0717979675 47.4083302209 385.4444, 8.0717473121 47.4083235074 385.4433, 8.0716966568 47.4083167939 385.4651, 8.0716460015 47.4083100803 385.51, 8.0715953462 47.4083033668 385.5779, 8.0715446909 47.4082966532 385.6687, 8.0714940356 47.4082899395 385.7825, 8.0714433803 47.4082832259 385.9194, 8.0713927251 47.4082765122 386.0792, 8.0713420699 47.4082697985 386.2621, 8.0712914146 47.4082630848 386.468, 8.0712407594 47.4082563711 386.6969, 8.0711901042 47.4082496573 386.9488, 8.071139449 47.4082429436 387.2238, 8.0710887938 47.4082362298 387.5219, 8.0710381387 47.408229516 387.843, 8.0709874835 47.4082228021 388.1871, 8.0709368284 47.4082160882 388.5544, 8.0708861733 47.4082093744 388.9448, 8.0708355181 47.4082026604 389.3582, 8.070784863 47.4081959465 389.7949, 8.070734208 47.4081892326 390.2546, 8.0706835529 47.4081825186 390.7375, 8.0706328978 47.4081758046 391.2436, 8.0705822428 47.4081690906 391.7728, 8.0705315877 47.4081623765 392.3253, 8.0704809327 47.4081556624 392.901, 8.0704302777 47.4081489484 393.5))"
Section #20,"Section #20, 132kV, 'ad400', from Str. #701 Set 45 'AD-P5' to Str. #702 Set 25
                    'AG-P5', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-med'",POINT Z (8.0715704985 47.4082977926 382.6175)
,"Section #20, 132kV, 'ad400', from Str. #701 Set 45 'AD-P5' to Str. #702 Set 25
                    'AG-P5', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-med'","MULTILINESTRING Z ((8.0727106209 47.408448888 386.4, 8.0726599522 47.4084421734 385.984, 8.0726092834 47.4084354587 385.5911, 8.0725586147 47.408428744 385.2214, 8.072507946 47.4084220293 384.8747, 8.0724572773 47.4084153145 384.5511, 8.0724066086 47.4084085998 384.2506, 8.0723559399 47.408401885 383.9732, 8.0723052713 47.4083951702 383.7188, 8.0722546026 47.4083884554 383.4874, 8.072203934 47.4083817405 383.2792, 8.0721532654 47.4083750257 383.0939, 8.0721025968 47.4083683108 382.9317, 8.0720519282 47.4083615959 382.7924, 8.0720012596 47.4083548809 382.6762, 8.071950591 47.408348166 382.583, 8.0718999224 47.408341451 382.5128, 8.0718492539 47.408334736 382.4657, 8.0717985854 47.408328021 382.4415, 8.0717479169 47.4083213059 382.4403, 8.0716972483 47.4083145908 382.4621, 8.0716465799 47.4083078757 382.507, 8.0715959114 47.4083011606 382.5748, 8.0715452429 47.4082944455 382.6657, 8.0714945744 47.4082877303 382.7795, 8.071443906 47.4082810152 382.9164, 8.0713932376 47.4082743 383.0763, 8.0713425692 47.4082675847 383.2592, 8.0712919008 47.4082608695 383.4651, 8.0712412324 47.4082541542 383.6941, 8.071190564 47.4082474389 383.9461, 8.0711398956 47.4082407236 384.2212, 8.0710892273 47.4082340083 384.5194, 8.0710385589 47.4082272929 384.8406, 8.0709878906 47.4082205775 385.1849, 8.0709372223 47.4082138621 385.5523, 8.070886554 47.4082071467 385.9428, 8.0708358857 47.4082004313 386.3565, 8.0707852174 47.4081937158 386.7933, 8.0707345492 47.4081870003 387.2532, 8.0706838809 47.4081802848 387.7363, 8.0706332127 47.4081735692 388.2426, 8.0705825444 47.4081668537 388.7721, 8.0705318762 47.4081601381 389.3248, 8.070481208 47.4081534225 389.9008, 8.0704305398 47.4081467069 390.5))"
Section #21,"Section #21, 0kV, 'Erdseil200', from Str. #701 Set 59 'AD-G1' to Str. #702 Set
                    59 'AD-G1', Section at 10 degr�s 'Initial RS', Notes: 'DAM-cdg'",POINT Z (8.0715649852 47.4083198713 389.1387)
,"Section #21, 0kV, 'Erdseil200', from Str. #701 Set 59 'AD-G1' to Str. #702 Set
                    59 'AD-G1', Section at 10 degr�s 'Initial RS', Notes: 'DAM-cdg'","MULTILINESTRING Z ((8.0727020703 47.4084706113 391.4, 8.0726515333 47.408463912 391.1164, 8.0726009964 47.4084572127 390.8499, 8.0725504594 47.4084505134 390.6004, 8.0724999225 47.408443814 390.3679, 8.0724493855 47.4084371146 390.1525, 8.0723988486 47.4084304153 389.9542, 8.0723483117 47.4084237158 389.7728, 8.0722977748 47.4084170164 389.6085, 8.0722472379 47.4084103169 389.4612, 8.072196701 47.4084036175 389.331, 8.0721461642 47.408396918 389.2178, 8.0720956273 47.4083902184 389.1216, 8.0720450905 47.4083835189 389.0424, 8.0719945536 47.4083768193 388.9802, 8.0719440168 47.4083701197 388.9351, 8.07189348 47.4083634201 388.9069, 8.0718429433 47.4083567205 388.8958, 8.0717924065 47.4083500208 388.9017, 8.0717418697 47.4083433212 388.9246, 8.071691333 47.4083366215 388.9645, 8.0716407962 47.4083299217 389.0214, 8.0715902595 47.408323222 389.0954, 8.0715397228 47.4083165222 389.1863, 8.0714891861 47.4083098224 389.2943, 8.0714386494 47.4083031226 389.4193, 8.0713881128 47.4082964228 389.5613, 8.0713375761 47.4082897229 389.7204, 8.0712870395 47.4082830231 389.8965, 8.0712365028 47.4082763232 390.0896, 8.0711859662 47.4082696232 390.2998, 8.0711354296 47.4082629233 390.527, 8.071084893 47.4082562233 390.7712, 8.0710343564 47.4082495233 391.0325, 8.0709838199 47.4082428233 391.3108, 8.0709332833 47.4082361233 391.6062, 8.0708827468 47.4082294232 391.9187, 8.0708322102 47.4082227232 392.2482, 8.0707816737 47.4082160231 392.5949, 8.0707311372 47.4082093229 392.9586, 8.0706806007 47.4082026228 393.3394, 8.0706300642 47.4081959226 393.7373, 8.0705795278 47.4081892224 394.1523, 8.0705289913 47.4081825222 394.5844, 8.0704784549 47.408175822 395.0336, 8.0704279184 47.4081691218 395.5))"
Section #22,"Section #22, 132kV, 'ad400', from Str. #702 Set 21 'AG-P1' to Str. #703 Set 41
                    'AD-P1', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-sup'",POINT Z (8.0692890555 47.4082158758 388.0461)
,"Section #22, 132kV, 'ad400', from Str. #702 Set 21 'AG-P1' to Str. #703 Set 41
                    'AD-P1', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-sup'","MULTILINESTRING Z ((8.0704255592 47.4081892951 393.5, 8.070375048 47.4081904767 393.0233, 8.0703245369 47.4081916583 392.5684, 8.0702740257 47.4081928399 392.1354, 8.0702235145 47.4081940214 391.7243, 8.0701730033 47.4081952029 391.335, 8.0701224922 47.4081963844 390.9675, 8.070071981 47.4081975659 390.6218, 8.0700214698 47.4081987473 390.2979, 8.0699709586 47.4081999287 389.9958, 8.0699204474 47.4082011101 389.7155, 8.0698699362 47.4082022915 389.457, 8.069819425 47.4082034728 389.2202, 8.0697689139 47.4082046542 389.0051, 8.0697184027 47.4082058355 388.8118, 8.0696678915 47.4082070168 388.6403, 8.0696173803 47.408208198 388.4905, 8.0695668691 47.4082093793 388.3624, 8.0695163579 47.4082105605 388.256, 8.0694658466 47.4082117417 388.1713, 8.0694153354 47.4082129229 388.1084, 8.0693648242 47.408214104 388.0672, 8.069314313 47.4082152851 388.0477, 8.0692638018 47.4082164663 388.0499, 8.0692132906 47.4082176473 388.0739, 8.0691627794 47.4082188284 388.1195, 8.0691122681 47.4082200095 388.1869, 8.0690617569 47.4082211905 388.2759, 8.0690112457 47.4082223715 388.3867, 8.0689607345 47.4082235525 388.5193, 8.0689102232 47.4082247334 388.6735, 8.068859712 47.4082259143 388.8495, 8.0688092008 47.4082270953 389.0473, 8.0687586895 47.4082282761 389.2667, 8.0687081783 47.408229457 389.508, 8.068657667 47.4082306379 389.771, 8.0686071558 47.4082318187 390.0557, 8.0685566445 47.4082329995 390.3623, 8.0685061333 47.4082341803 390.6906, 8.068455622 47.408235361 391.0407, 8.0684051108 47.4082365417 391.4127, 8.0683545995 47.4082377225 391.8064, 8.0683040883 47.4082389031 392.222, 8.068253577 47.4082400838 392.6595, 8.0682030658 47.4082412645 393.1188, 8.0681525545 47.4082424451 393.6))"
Section #23,"Section #23, 132kV, 'ad400', from Str. #702 Set 22 'AG-P2' to Str. #703 Set 22
                    'AG-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'",POINT Z (8.0692888206 47.4082181186 385.0464)
,"Section #23, 132kV, 'ad400', from Str. #702 Set 22 'AG-P2' to Str. #703 Set 22
                    'AG-P2', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-med'","MULTILINESTRING Z ((8.070425297 47.4081915366 390.5, 8.0703747871 47.4081927183 390.0233, 8.0703242771 47.4081938999 389.5685, 8.0702737672 47.4081950815 389.1355, 8.0702232572 47.4081962631 388.7244, 8.0701727472 47.4081974447 388.3351, 8.0701222373 47.4081986262 387.9676, 8.0700717273 47.4081998078 387.6219, 8.0700212173 47.4082009892 387.2981, 8.0699707074 47.4082021707 386.996, 8.0699201974 47.4082033522 386.7157, 8.0698696874 47.4082045336 386.4572, 8.0698191774 47.408205715 386.2204, 8.0697686674 47.4082068964 386.0053, 8.0697181575 47.4082080778 385.8121, 8.0696676475 47.4082092591 385.6405, 8.0696171375 47.4082104405 385.4907, 8.0695666275 47.4082116218 385.3626, 8.0695161175 47.408212803 385.2562, 8.0694656075 47.4082139843 385.1716, 8.0694150975 47.4082151655 385.1087, 8.0693645875 47.4082163467 385.0675, 8.0693140775 47.4082175279 385.048, 8.0692635675 47.4082187091 385.0502, 8.0692130575 47.4082198902 385.0741, 8.0691625475 47.4082210714 385.1198, 8.0691120375 47.4082222525 385.1871, 8.0690615275 47.4082234335 385.2762, 8.0690110174 47.4082246146 385.387, 8.0689605074 47.4082257956 385.5195, 8.0689099974 47.4082269766 385.6738, 8.0688594874 47.4082281576 385.8497, 8.0688089773 47.4082293386 386.0475, 8.0687584673 47.4082305196 386.2669, 8.0687079573 47.4082317005 386.5082, 8.0686574473 47.4082328814 386.7711, 8.0686069372 47.4082340623 387.0559, 8.0685564272 47.4082352431 387.3624, 8.0685059171 47.408236424 387.6907, 8.0684554071 47.4082376048 388.0408, 8.0684048971 47.4082387856 388.4128, 8.068354387 47.4082399663 388.8065, 8.068303877 47.4082411471 389.2221, 8.0682533669 47.4082423278 389.6595, 8.0682028569 47.4082435085 390.1188, 8.0681523468 47.4082446892 390.6))"
Section #24,"Section #24, 132kV, 'ad400', from Str. #702 Set 23 'AG-P3' to Str. #703 Set 43
                    'AD-P3', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-inf'",POINT Z (8.0692890555 47.4082158758 382.0461)
,"Section #24, 132kV, 'ad400', from Str. #702 Set 23 'AG-P3' to Str. #703 Set 43
                    'AD-P3', Section at 40 degr�s 'Initial RS', Notes: 'DAM-B-inf'","MULTILINESTRING Z ((8.0704255592 47.4081892951 387.5, 8.070375048 47.4081904767 387.0233, 8.0703245369 47.4081916583 386.5684, 8.0702740257 47.4081928399 386.1354, 8.0702235145 47.4081940214 385.7243, 8.0701730033 47.4081952029 385.335, 8.0701224922 47.4081963844 384.9675, 8.070071981 47.4081975659 384.6218, 8.0700214698 47.4081987473 384.2979, 8.0699709586 47.4081999287 383.9958, 8.0699204474 47.4082011101 383.7155, 8.0698699362 47.4082022915 383.457, 8.069819425 47.4082034728 383.2202, 8.0697689139 47.4082046542 383.0051, 8.0697184027 47.4082058355 382.8118, 8.0696678915 47.4082070168 382.6403, 8.0696173803 47.408208198 382.4905, 8.0695668691 47.4082093793 382.3624, 8.0695163579 47.4082105605 382.256, 8.0694658466 47.4082117417 382.1713, 8.0694153354 47.4082129229 382.1084, 8.0693648242 47.408214104 382.0672, 8.069314313 47.4082152851 382.0477, 8.0692638018 47.4082164663 382.0499, 8.0692132906 47.4082176473 382.0739, 8.0691627794 47.4082188284 382.1195, 8.0691122681 47.4082200095 382.1869, 8.0690617569 47.4082211905 382.2759, 8.0690112457 47.4082223715 382.3867, 8.0689607345 47.4082235525 382.5193, 8.0689102232 47.4082247334 382.6735, 8.068859712 47.4082259143 382.8495, 8.0688092008 47.4082270953 383.0473, 8.0687586895 47.4082282761 383.2667, 8.0687081783 47.408229457 383.508, 8.068657667 47.4082306379 383.771, 8.0686071558 47.4082318187 384.0557, 8.0685566445 47.4082329995 384.3623, 8.0685061333 47.4082341803 384.6906, 8.068455622 47.408235361 385.0407, 8.0684051108 47.4082365417 385.4127, 8.0683545995 47.4082377225 385.8064, 8.0683040883 47.4082389031 386.222, 8.068253577 47.4082400838 386.6595, 8.0682030658 47.4082412645 387.1188, 8.0681525545 47.4082424451 387.6))"
Section #25,"Section #25, 132kV, 'ad400', from Str. #702 Set 24 'AG-P4' to Str. #703 Set 44
                    'AD-P4', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-sup'",POINT Z (8.0692932838 47.4081755053 388.0413)
,"Section #25, 132kV, 'ad400', from Str. #702 Set 24 'AG-P4' to Str. #703 Set 44
                    'AD-P4', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-sup'","MULTILINESTRING Z ((8.0704302777 47.4081489484 393.5, 8.0703797447 47.4081501289 393.0229, 8.0703292118 47.4081513094 392.5676, 8.0702786788 47.4081524899 392.1342, 8.0702281459 47.4081536704 391.7227, 8.0701776129 47.4081548509 391.3331, 8.0701270799 47.4081560313 390.9653, 8.070076547 47.4081572117 390.6193, 8.070026014 47.4081583921 390.2951, 8.069975481 47.4081595725 389.9928, 8.0699249481 47.4081607528 389.7122, 8.0698744151 47.4081619331 389.4534, 8.0698238821 47.4081631134 389.2164, 8.0697733491 47.4081642937 389.0012, 8.0697228162 47.408165474 388.8077, 8.0696722832 47.4081666542 388.636, 8.0696217502 47.4081678344 388.4861, 8.0695712172 47.4081690146 388.3579, 8.0695206842 47.4081701948 388.2514, 8.0694701512 47.4081713749 388.1667, 8.0694196182 47.408172555 388.1037, 8.0693690852 47.4081737351 388.0625, 8.0693185522 47.4081749152 388.0429, 8.0692680192 47.4081760953 388.0452, 8.0692174862 47.4081772753 388.0691, 8.0691669532 47.4081784553 388.1148, 8.0691164202 47.4081796353 388.1822, 8.0690658872 47.4081808153 388.2714, 8.0690153542 47.4081819952 388.3823, 8.0689648212 47.4081831752 388.5149, 8.0689142881 47.4081843551 388.6693, 8.0688637551 47.408185535 388.8454, 8.0688132221 47.4081867148 389.0433, 8.0687626891 47.4081878947 389.263, 8.068712156 47.4081890745 389.5044, 8.068661623 47.4081902543 389.7677, 8.06861109 47.408191434 390.0527, 8.068560557 47.4081926138 390.3595, 8.0685100239 47.4081937935 390.6881, 8.0684594909 47.4081949732 391.0385, 8.0684089578 47.4081961529 391.4108, 8.0683584248 47.4081973326 391.8049, 8.0683078917 47.4081985122 392.2209, 8.0682573587 47.4081996918 392.6587, 8.0682068257 47.4082008714 393.1184, 8.0681562926 47.408202051 393.6))"
Section #26,"Section #26, 132kV, 'ad400', from Str. #702 Set 25 'AG-P5' to Str. #703 Set 25
                    'AG-P5', Section at 40 degr�s 'Initial RS', Notes: 'DAM-A-med'",POINT Z (8.0692935187 47.4081732625 385.0394)
