Name,geometry_layer,wkt
,Structure '11/91',"MULTILINESTRING Z ((8.0771108922 47.4093694099 360.112, 8.0771108922 47.4093694099 385.612), (8.0771108922 47.4093694099 385.612, 8.0771108922 47.4093694099 388.612), (8.0771108922 47.4093694099 388.612, 8.0771108922 47.4093694099 391.412), (8.0771108922 47.4093694099 391.412, 8.0771108922 47.4093694099 394.212), (8.0771108922 47.4093694099 394.212, 8.0771108922 47.4093694099 396.812), (8.0771108922 47.4093694099 394.212, 8.0771060602 47.4093674602 394.212), (8.0771108922 47.4093694099 394.212, 8.0771080201 47.4093726901 394.212), (8.0771157243 47.4093713596 394.212, 8.0771108922 47.4093694099 394.212), (8.0771108922 47.4093694099 394.212, 8.0771137643 47.4093661297 394.212), (8.0771060602 47.4093674602 394.212, 8.0771009169 47.4093460749 394.212), (8.0771080201 47.4093726901 394.212, 8.0771185563 47.4093931441 394.212), (8.0771157243 47.4093713596 394.212, 8.0771208676 47.4093927449 394.212), (8.0771137643 47.4093661297 394.212, 8.0771032281 47.4093456757 394.212), (8.0771108922 47.4093694099 391.412, 8.0771060602 47.4093674602 391.412), (8.0771108922 47.4093694099 391.412, 8.0771080201 47.4093726901 391.412), (8.0771157243 47.4093713596 391.412, 8.0771108922 47.4093694099 391.412), (8.0771108922 47.4093694099 391.412, 8.0771137643 47.4093661297 391.412), (8.0771108922 47.4093694099 388.612, 8.0771060602 47.4093674602 388.612), (8.0771108922 47.4093694099 388.612, 8.0771080201 47.4093726901 388.612), (8.0771157243 47.4093713596 388.612, 8.0771108922 47.4093694099 388.612), (8.0771108922 47.4093694099 388.612, 8.0771137643 47.4093661297 388.612), (8.0771060602 47.4093674602 388.612, 8.0770991203 47.4093412808 388.612), (8.0771080201 47.4093726901 388.612, 8.0771203529 47.4093979382 388.612), (8.0771157243 47.4093713596 388.612, 8.0771226642 47.409397539 388.612), (8.0771137643 47.4093661297 388.612, 8.0771014315 47.4093408817 388.612), (8.0771108922 47.4093694099 385.612, 8.0771060602 47.4093674602 385.612), (8.0771108922 47.4093694099 385.612, 8.0771080201 47.4093726901 385.612), (8.0771157243 47.4093713596 385.612, 8.0771108922 47.4093694099 385.612), (8.0771108922 47.4093694099 385.612, 8.0771137643 47.4093661297 385.612), (8.0771060602 47.4093674602 385.612, 8.0770985358 47.409345558 385.612), (8.0771080201 47.4093726901 385.612, 8.0771168285 47.4093943705 385.612), (8.0771157243 47.4093713596 385.612, 8.0771232487 47.4093932618 385.612), (8.0771137643 47.4093661297 385.612, 8.0771049559 47.4093444493 385.612), (8.0770985358 47.409345558 385.612, 8.0770852374 47.4093042356 385.612), (8.0771168285 47.4093943705 385.612, 8.0771342359 47.4094349834 385.612), (8.0771232487 47.4093932618 385.612, 8.0771365471 47.4094345842 385.612), (8.0771049559 47.4093444493 385.612, 8.0770875486 47.4093038364 385.612), (8.0771060602 47.4093674602 391.412, 8.077101149 47.4093525312 391.412), (8.0771080201 47.4093726901 391.412, 8.0771142153 47.4093873973 391.412), (8.0771157243 47.4093713596 391.412, 8.0771206354 47.4093862886 391.412), (8.0771137643 47.4093661297 391.412, 8.0771075691 47.4093514225 391.412), (8.077101149 47.4093525312 391.412, 8.0770934038 47.4093260269 391.412), (8.0771142153 47.4093873973 391.412, 8.0771260694 47.4094131921 391.412), (8.0771206354 47.4093862886 391.412, 8.0771283807 47.4094127929 391.412), (8.0771075691 47.4093514225 391.412, 8.077095715 47.4093256277 391.412), (8.0770991203 47.4093412808 388.612, 8.0771014315 47.4093408817 388.612), (8.0771203529 47.4093979382 388.612, 8.0771226642 47.409397539 388.612), (8.0771060602 47.4093674602 388.612, 8.0771137643 47.4093661297 388.612), (8.0771080201 47.4093726901 388.612, 8.0771157243 47.4093713596 388.612), (8.0771060602 47.4093674602 385.612, 8.0771137643 47.4093661297 385.612), (8.0771080201 47.4093726901 385.612, 8.0771157243 47.4093713596 385.612), (8.0770934038 47.4093260269 391.412, 8.077095715 47.4093256277 391.412), (8.0771260694 47.4094131921 391.412, 8.0771283807 47.4094127929 391.412), (8.077101149 47.4093525312 391.412, 8.0771075691 47.4093514225 391.412), (8.0771142153 47.4093873973 391.412, 8.0771206354 47.4093862886 391.412), (8.0771060602 47.4093674602 391.412, 8.0771137643 47.4093661297 391.412), (8.0771080201 47.4093726901 391.412, 8.0771157243 47.4093713596 391.412), (8.0771009169 47.4093460749 394.212, 8.0771032281 47.4093456757 394.212), (8.0771185563 47.4093931441 394.212, 8.0771208676 47.4093927449 394.212), (8.0771060602 47.4093674602 394.212, 8.0771137643 47.4093661297 394.212), (8.0771080201 47.4093726901 394.212, 8.0771157243 47.4093713596 394.212), (8.0771080201 47.4093726901 394.212, 8.0771060602 47.4093674602 394.212), (8.0771157243 47.4093713596 394.212, 8.0771137643 47.4093661297 394.212), (8.0771080201 47.4093726901 391.412, 8.0771060602 47.4093674602 391.412), (8.0771157243 47.4093713596 391.412, 8.0771137643 47.4093661297 391.412), (8.0771080201 47.4093726901 388.612, 8.0771060602 47.4093674602 388.612), (8.0771157243 47.4093713596 388.612, 8.0771137643 47.4093661297 388.612), (8.0771080201 47.4093726901 385.612, 8.0771060602 47.4093674602 385.612), (8.0771157243 47.4093713596 385.612, 8.0771137643 47.4093661297 385.612), (8.0770852374 47.4093042356 385.612, 8.077086393 47.409304036 385.612), (8.0771353915 47.4094347838 385.612, 8.0771342359 47.4094349834 385.612), (8.0771365471 47.4094345842 385.612, 8.0771353915 47.4094347838 385.612), (8.077086393 47.409304036 385.612, 8.0770875486 47.4093038364 385.612), (8.0770985358 47.409345558 385.612, 8.0771017458 47.4093450037 385.612), (8.0771200386 47.4093938162 385.612, 8.0771168285 47.4093943705 385.612), (8.0771232487 47.4093932618 385.612, 8.0771200386 47.4093938162 385.612), (8.0771017458 47.4093450037 385.612, 8.0771049559 47.4093444493 385.612))"
,Structure '700',"MULTILINESTRING Z ((8.0748718388 47.4089740726 391.4, 8.0748718388 47.4089740726 389.4), (8.0748718388 47.4089740726 389.4, 8.0748718388 47.4089740726 386.4), (8.0748718388 47.4089740726 386.4, 8.0748718388 47.4089740726 383.4), (8.0748718388 47.4089740726 383.4, 8.0748718388 47.4089740726 378.4), (8.0748718388 47.4089740726 378.4, 8.0748718388 47.4089740726 373.4), (8.0748718388 47.4089740726 373.4, 8.0748718388 47.4089740726 360.4), (8.0748718388 47.4089740726 389.4, 8.07486326 47.4089934534 389.4), (8.0748718388 47.4089740726 383.4, 8.07486326 47.4089934534 383.4), (8.0748718388 47.4089740726 389.4, 8.0748804176 47.4089546918 389.4), (8.0748718388 47.4089740726 383.4, 8.0748804176 47.4089546918 383.4), (8.0748718388 47.4089740726 386.4, 8.0748813708 47.4089525384 386.4), (8.0748718388 47.4089740726 386.4, 8.0748623068 47.4089956068 386.4))"
,Structure '701',"MULTILINESTRING Z ((8.0727020703 47.4084706113 391.4, 8.0727020703 47.4084706113 389.4), (8.0727020703 47.4084706113 389.4, 8.0727020703 47.4084706113 386.4), (8.0727020703 47.4084706113 386.4, 8.0727020703 47.4084706113 383.4), (8.0727020703 47.4084706113 383.4, 8.0727020703 47.4084706113 378.4), (8.0727020703 47.4084706113 378.4, 8.0727020703 47.4084706113 373.4), (8.0727020703 47.4084706113 373.4, 8.0727020703 47.4084706113 360.4), (8.0727020703 47.4084706113 389.4, 8.0726943748 47.4084901622 389.4), (8.0727020703 47.4084706113 383.4, 8.0726943748 47.4084901622 383.4), (8.0727020703 47.4084706113 389.4, 8.0727097658 47.4084510603 389.4), (8.0727020703 47.4084706113 383.4, 8.0727097658 47.4084510603 383.4), (8.0727020703 47.4084706113 386.4, 8.0727106209 47.408448888 386.4), (8.0727020703 47.4084706113 386.4, 8.0726935197 47.4084923345 386.4))"
,Structure '702',"MULTILINESTRING Z ((8.0704279184 47.4081691218 395.5, 8.0704279184 47.4081691218 393.5), (8.0704279184 47.4081691218 393.5, 8.0704279184 47.4081691218 390.5), (8.0704279184 47.4081691218 390.5, 8.0704279184 47.4081691218 387.5), (8.0704279184 47.4081691218 387.5, 8.0704279184 47.4081691218 382.5), (8.0704279184 47.4081691218 382.5, 8.0704279184 47.4081691218 377.5), (8.0704279184 47.4081691218 377.5, 8.0704279184 47.4081691218 360.5), (8.0704279184 47.4081691218 393.5, 8.0704255592 47.4081892951 393.5), (8.0704279184 47.4081691218 387.5, 8.0704255592 47.4081892951 387.5), (8.0704279184 47.4081691218 393.5, 8.0704302777 47.4081489484 393.5), (8.0704279184 47.4081691218 387.5, 8.0704302777 47.4081489484 387.5), (8.0704279184 47.4081691218 390.5, 8.0704305398 47.4081467069 390.5), (8.0704279184 47.4081691218 390.5, 8.070425297 47.4081915366 390.5))"
,Structure '703',"MULTILINESTRING Z ((8.0681544235 47.408222248 395.6, 8.0681544235 47.408222248 393.6), (8.0681544235 47.408222248 393.6, 8.0681544235 47.408222248 390.6), (8.0681544235 47.408222248 390.6, 8.0681544235 47.408222248 387.6), (8.0681544235 47.408222248 387.6, 8.0681544235 47.408222248 382.6), (8.0681544235 47.408222248 382.6, 8.0681544235 47.408222248 377.6), (8.0681544235 47.408222248 377.6, 8.0681544235 47.408222248 360.6), (8.0681544235 47.408222248 393.6, 8.0681525545 47.4082424451 393.6), (8.0681544235 47.408222248 387.6, 8.0681525545 47.4082424451 387.6), (8.0681544235 47.408222248 393.6, 8.0681562926 47.408202051 393.6), (8.0681544235 47.408222248 387.6, 8.0681562926 47.408202051 387.6), (8.0681544235 47.408222248 390.6, 8.0681565003 47.4081998069 390.6), (8.0681544235 47.408222248 390.6, 8.0681523468 47.4082446892 390.6))"
,Structure '704',"MULTILINESTRING Z ((8.0654076435 47.4079215347 388.28, 8.0654076435 47.4079215347 386.78), (8.0654076435 47.4079215347 386.78, 8.0654076435 47.4079215347 383.78), (8.0654076435 47.4079215347 383.78, 8.0654076435 47.4079215347 380.78), (8.0654076435 47.4079215347 380.78, 8.0654076435 47.4079215347 375.78), (8.0654076435 47.4079215347 375.78, 8.0654076435 47.4079215347 370.78), (8.0654076435 47.4079215347 370.78, 8.0654076435 47.4079215347 363.48), (8.0654076435 47.4079215347 386.78, 8.0653962381 47.4079402318 386.78), (8.0654076435 47.4079215347 380.78, 8.0653962381 47.4079402318 380.78), (8.0654076435 47.4079215347 386.78, 8.0654190488 47.4079028376 386.78), (8.0654076435 47.4079215347 380.78, 8.0654190488 47.4079028376 380.78), (8.0654076435 47.4079215347 383.78, 8.0654203161 47.4079007601 383.78), (8.0654076435 47.4079215347 383.78, 8.0653949709 47.4079423093 383.78))"
,Structure '705',"MULTILINESTRING Z ((8.0637602898 47.4071141211 385.88, 8.0637602898 47.4071141211 384.88), (8.0637602898 47.4071141211 384.88, 8.0637602898 47.4071141211 381.88), (8.0637602898 47.4071141211 381.88, 8.0637602898 47.4071141211 378.88), (8.0637602898 47.4071141211 378.88, 8.0637602898 47.4071141211 373.88), (8.0637602898 47.4071141211 373.88, 8.0637602898 47.4071141211 368.88), (8.0637602898 47.4071141211 368.88, 8.0637602898 47.4071141211 360.88), (8.0637602898 47.4071141211 384.88, 8.0637463301 47.407127247 384.88), (8.0637602898 47.4071141211 378.88, 8.0637447791 47.4071287054 378.88), (8.0637602898 47.4071141211 384.88, 8.0637742494 47.4071009951 384.88), (8.0637602898 47.4071141211 378.88, 8.0637758005 47.4070995367 378.88), (8.0637602898 47.4071141211 381.88, 8.0637796781 47.4070958906 381.88), (8.0637602898 47.4071141211 381.88, 8.0637409014 47.4071323515 381.88))"
,Structure '706',"MULTILINESTRING Z ((8.0621766812 47.4063379053 382.94, 8.0621766812 47.4063379053 380.44), (8.0621766812 47.4063379053 380.44, 8.0621766812 47.4063379053 377.94), (8.0621766812 47.4063379053 375.94, 8.0621766812 47.4063379053 374.94), (8.0621766812 47.4063379053 374.94, 8.0621766812 47.4063379053 366.94), (8.0621766812 47.4063379053 366.94, 8.0621766812 47.4063379053 362.34), (8.0621766812 47.4063379053 380.44, 8.0621562914 47.4063567531 380.44), (8.0621766812 47.4063379053 376.94, 8.0621617809 47.4063516787 376.94), (8.0621766812 47.4063379053 380.44, 8.0621970711 47.4063190574 380.44), (8.0621766812 47.4063379053 376.94, 8.0621915815 47.4063241319 376.94), (8.0621915815 47.4063241319 376.94, 8.0622127556 47.4063045591 376.94), (8.0621617809 47.4063516787 376.94, 8.0621406068 47.4063712514 376.94), (8.0621766812 47.4063379053 377.94, 8.0621766812 47.4063379053 376.94), (8.0621766812 47.4063379053 376.94, 8.0621766812 47.4063379053 375.94))"
,Structure '707',"MULTILINESTRING Z ((8.0609971449 47.4057397348 391.35, 8.0609971449 47.4057397348 388.85), (8.0609971449 47.4057397348 388.85, 8.0609971449 47.4057397348 386.35), (8.0609971449 47.4057397348 384.35, 8.0609971449 47.4057397348 383.35), (8.0609971449 47.4057397348 383.35, 8.0609971449 47.4057397348 373.35), (8.0609971449 47.4057397348 373.35, 8.0609971449 47.4057397348 365.35), (8.0609971449 47.4057397348 388.85, 8.0609812578 47.4057604838 388.85), (8.0609971449 47.4057397348 385.35, 8.0609855351 47.4057548976 385.35), (8.0609971449 47.4057397348 388.85, 8.061013032 47.4057189858 388.85), (8.0609971449 47.4057397348 385.35, 8.0610087547 47.4057245721 385.35), (8.0610087547 47.4057245721 385.35, 8.0610252528 47.405703025 385.35), (8.0609855351 47.4057548976 385.35, 8.0609690369 47.4057764446 385.35), (8.0609971449 47.4057397348 386.35, 8.0609971449 47.4057397348 385.35), (8.0609971449 47.4057397348 385.35, 8.0609971449 47.4057397348 384.35), (8.0609971449 47.4057397348 365.35, 8.0609971449 47.4057397348 364.85))"
,Structure '708',"MULTILINESTRING Z ((8.0578242451 47.4050326246 390.45, 8.0578242451 47.4050326246 388.95), (8.0578242451 47.4050326246 388.95, 8.0578242451 47.4050326246 385.95), (8.0578242451 47.4050326246 385.95, 8.0578242451 47.4050326246 383.95), (8.0578242451 47.4050326246 383.95, 8.0578242451 47.4050326246 375.95), (8.0578242451 47.4050326246 375.95, 8.0578242451 47.4050326246 363.45), (8.0578242451 47.4050326246 388.95, 8.0578136658 47.4050562928 388.95), (8.0578242451 47.4050326246 385.95, 8.0578152046 47.4050528501 385.95), (8.0578242451 47.4050326246 388.95, 8.0578348243 47.4050089563 388.95), (8.0578242451 47.4050326246 385.95, 8.0578332855 47.405012399 385.95), (8.0578332855 47.405012399 385.95, 8.0578444418 47.4049874398 385.95), (8.0578152046 47.4050528501 385.95, 8.0578040483 47.4050778094 385.95))"
